Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,Penetration Rate
01-09-2022,Maharashtra,2-Wheelers,10730,122642,8.749041927
01-01-2023,Chandigarh,2-Wheelers,172,1977,8.700050582
01-05-2023,Ladakh,2-Wheelers,14,161,8.695652174
01-12-2023,Chandigarh,4-Wheelers,130,1496,8.689839572
01-07-2022,Delhi,2-Wheelers,2658,30654,8.670972793
01-09-2022,Rajasthan,2-Wheelers,4677,53951,8.668977405
01-05-2023,Rajasthan,2-Wheelers,6897,79573,8.66751285
01-09-2022,Karnataka,2-Wheelers,7616,87981,8.656414453
01-05-2023,Chhattisgarh,2-Wheelers,2514,29232,8.600164204
01-12-2022,Chandigarh,2-Wheelers,123,1454,8.459422283
01-08-2022,Karnataka,2-Wheelers,7476,88611,8.436875783
01-03-2023,Gujarat,2-Wheelers,7790,92417,8.429185107
01-02-2024,Puducherry,2-Wheelers,384,4556,8.428446005
01-10-2022,Maharashtra,2-Wheelers,15999,189870,8.426291673
01-05-2023,Odisha,2-Wheelers,3727,44563,8.363440522
01-12-2023,Maharashtra,2-Wheelers,14495,174125,8.324479541
01-10-2022,Karnataka,2-Wheelers,9706,117015,8.294663077
01-03-2023,Delhi,4-Wheelers,1544,18638,8.28415066
01-01-2023,Gujarat,2-Wheelers,5873,70897,8.2838484
01-10-2022,Kerala,2-Wheelers,3629,44021,8.243792735
01-11-2023,Maharashtra,2-Wheelers,19008,230768,8.23684393
01-02-2022,Goa,2-Wheelers,267,3248,8.22044335
01-08-2022,Maharashtra,2-Wheelers,9723,118886,8.178423027
01-01-2024,Chandigarh,2-Wheelers,118,1450,8.137931034
01-05-2023,Andhra Pradesh,2-Wheelers,4370,54545,8.011733431
01-01-2024,Delhi,2-Wheelers,3073,38413,7.999895869
01-10-2023,Chandigarh,2-Wheelers,157,1964,7.99389002
01-03-2022,Karnataka,2-Wheelers,7288,91537,7.961807794
01-02-2023,Gujarat,2-Wheelers,6757,85424,7.909955048
01-12-2023,Puducherry,2-Wheelers,224,2836,7.898448519
01-03-2024,Chhattisgarh,2-Wheelers,3610,46046,7.839986101
01-11-2022,Odisha,2-Wheelers,2997,38593,7.765656984
01-02-2024,Delhi,2-Wheelers,2364,30504,7.749803304
01-07-2023,Maharashtra,2-Wheelers,9822,126943,7.737330928
01-08-2023,Odisha,2-Wheelers,2737,36033,7.595814947
01-06-2023,Karnataka,2-Wheelers,7730,101825,7.591455929
01-04-2022,Gujarat,2-Wheelers,6695,88648,7.552341846
01-07-2022,Maharashtra,2-Wheelers,8446,111895,7.548147817
01-02-2023,Rajasthan,2-Wheelers,4662,62207,7.494333435
01-03-2023,Rajasthan,2-Wheelers,6375,85324,7.471520323
01-03-2022,Maharashtra,2-Wheelers,9687,130070,7.447528254
01-06-2022,Karnataka,2-Wheelers,6800,91707,7.414919254
01-02-2022,Karnataka,2-Wheelers,5593,75612,7.396974025
01-07-2023,Chandigarh,2-Wheelers,134,1813,7.391064534
01-12-2022,Puducherry,2-Wheelers,177,2396,7.387312187
01-12-2022,Gujarat,2-Wheelers,7906,107138,7.37926786
01-07-2022,Karnataka,2-Wheelers,5689,77333,7.356497226
01-01-2023,Rajasthan,2-Wheelers,4624,62966,7.343645777
01-04-2023,Andhra Pradesh,2-Wheelers,3515,48046,7.31590559
01-07-2023,Odisha,2-Wheelers,2805,38394,7.305829036
01-10-2022,Delhi,2-Wheelers,3699,50702,7.295570194
01-10-2023,Delhi,2-Wheelers,2611,35861,7.280890103
01-08-2023,Chhattisgarh,2-Wheelers,2088,28699,7.275514826
01-01-2024,Odisha,2-Wheelers,3883,53485,7.259979433
01-05-2022,Maharashtra,2-Wheelers,8914,123203,7.235213428
01-03-2023,Puducherry,2-Wheelers,261,3608,7.233924612
01-07-2022,Rajasthan,2-Wheelers,4574,63752,7.174676873
01-09-2023,Chandigarh,2-Wheelers,134,1868,7.173447537
01-01-2022,Delhi,2-Wheelers,1762,24615,7.158236847
01-12-2022,Chhattisgarh,2-Wheelers,1883,26359,7.143670094
01-05-2021,Goa,2-Wheelers,27,379,7.124010554
01-03-2024,Goa,4-Wheelers,123,1730,7.10982659
01-09-2023,Chhattisgarh,2-Wheelers,2178,30725,7.088689992
01-10-2022,Rajasthan,2-Wheelers,9455,133585,7.077890482
01-05-2022,Karnataka,2-Wheelers,5947,84301,7.054483339
01-06-2023,Maharashtra,2-Wheelers,8451,119809,7.053727182
01-03-2023,Tamil Nadu,2-Wheelers,8388,119376,7.026537998
01-11-2023,Delhi,2-Wheelers,3976,56736,7.007896221
01-08-2023,Chandigarh,2-Wheelers,125,1789,6.987143656
01-04-2022,Kerala,2-Wheelers,2908,41859,6.947132039
01-04-2023,Kerala,4-Wheelers,637,9171,6.945807436
01-07-2022,Goa,4-Wheelers,107,1545,6.925566343
01-08-2022,Rajasthan,2-Wheelers,4159,60191,6.909670881
01-04-2023,Tamil Nadu,2-Wheelers,6509,94801,6.86596133
01-11-2023,Odisha,2-Wheelers,4345,63423,6.850826987
01-09-2022,Gujarat,2-Wheelers,5333,77920,6.844199179
01-06-2022,Maharashtra,2-Wheelers,7880,115725,6.809246057
01-08-2022,Gujarat,2-Wheelers,5059,74982,6.746952602
01-12-2021,Delhi,2-Wheelers,1258,18687,6.731952694
01-08-2022,Goa,2-Wheelers,303,4503,6.728847435
01-07-2022,Gujarat,2-Wheelers,5592,83341,6.7097827
01-11-2022,Maharashtra,2-Wheelers,13718,204988,6.69209905
01-09-2023,Odisha,2-Wheelers,3049,45630,6.682007451
01-07-2023,Delhi,2-Wheelers,2068,31269,6.613578944
01-08-2023,Gujarat,2-Wheelers,5755,87134,6.604769665
01-08-2022,Odisha,2-Wheelers,2007,30540,6.571709234
01-03-2023,Chhattisgarh,2-Wheelers,2188,33362,6.558359811
01-12-2023,Tamil Nadu,2-Wheelers,5403,82736,6.530409979
01-02-2024,Odisha,2-Wheelers,3733,57255,6.519954589
01-04-2023,Odisha,2-Wheelers,2848,43956,6.479206479
01-03-2023,Andhra Pradesh,2-Wheelers,3515,54298,6.473534937
01-05-2023,Kerala,4-Wheelers,954,14819,6.437681355
01-01-2022,Goa,2-Wheelers,194,3015,6.434494196
01-05-2022,Gujarat,2-Wheelers,4408,68621,6.423689541
01-12-2022,Tamil Nadu,2-Wheelers,4991,77848,6.411211592
01-11-2022,Chhattisgarh,2-Wheelers,2725,42575,6.400469759
01-08-2023,Delhi,2-Wheelers,2116,33120,6.388888889
01-06-2022,Gujarat,2-Wheelers,5322,83549,6.369914661
01-09-2023,Delhi,2-Wheelers,2002,31468,6.362018559
01-02-2024,Chandigarh,4-Wheelers,84,1321,6.358819076
01-02-2024,Rajasthan,2-Wheelers,5145,81152,6.339954653
01-03-2024,Kerala,4-Wheelers,876,13861,6.31989034
01-06-2023,Delhi,2-Wheelers,1787,28279,6.319176774
01-01-2024,Delhi,4-Wheelers,1345,21520,6.25
01-12-2022,Odisha,2-Wheelers,2379,38217,6.224978413
01-07-2023,Kerala,4-Wheelers,871,14002,6.220539923
01-01-2024,Chandigarh,4-Wheelers,101,1624,6.219211823
01-03-2023,Odisha,2-Wheelers,3269,52642,6.209870446
01-03-2022,Tamil Nadu,2-Wheelers,7708,124272,6.202523497
01-03-2022,Goa,4-Wheelers,91,1474,6.173677069
01-06-2023,Kerala,4-Wheelers,885,14389,6.150531656
01-03-2022,Andhra Pradesh,2-Wheelers,3169,51588,6.14290145
01-03-2024,West Bengal,4-Wheelers,495,8089,6.119421437
01-05-2022,Delhi,2-Wheelers,1760,28897,6.09059764
01-02-2023,Chhattisgarh,2-Wheelers,1874,30804,6.083625503
01-09-2022,Odisha,2-Wheelers,2197,36139,6.079304906
01-03-2024,Madhya Pradesh,2-Wheelers,5772,95405,6.04999738
01-04-2023,Chandigarh,2-Wheelers,126,2085,6.043165468
01-11-2022,Tamil Nadu,2-Wheelers,7258,120109,6.042844416
01-01-2024,Puducherry,2-Wheelers,310,5141,6.029955262
01-08-2022,Kerala,2-Wheelers,3069,50954,6.02307964
01-02-2024,Tamil Nadu,2-Wheelers,8647,143638,6.019994709
01-06-2023,Delhi,4-Wheelers,935,15723,5.946702283
01-02-2022,Maharashtra,2-Wheelers,6871,116043,5.921080979
01-01-2022,Karnataka,2-Wheelers,4386,74134,5.916313702
01-01-2024,Gujarat,2-Wheelers,5424,91933,5.899948876
01-06-2022,Rajasthan,2-Wheelers,3427,58281,5.880132462
01-08-2022,Chhattisgarh,2-Wheelers,1360,23146,5.875745269
01-12-2023,Chhattisgarh,2-Wheelers,1865,31773,5.869763636
01-05-2022,Kerala,2-Wheelers,2373,40514,5.857234536
01-06-2022,Kerala,2-Wheelers,2568,44015,5.834374645
01-11-2023,Tamil Nadu,2-Wheelers,7096,121926,5.81992356
01-02-2024,Gujarat,2-Wheelers,5103,88441,5.769948327
01-04-2023,Rajasthan,2-Wheelers,3914,67999,5.755967
01-09-2022,Kerala,2-Wheelers,3100,53877,5.753846725
01-12-2022,Andhra Pradesh,2-Wheelers,2718,47327,5.743021954
01-10-2022,Gujarat,2-Wheelers,6635,115540,5.742599965
01-03-2022,Kerala,2-Wheelers,2880,50610,5.690574985
01-10-2023,Chhattisgarh,2-Wheelers,2195,38600,5.686528497
01-03-2022,Gujarat,2-Wheelers,4507,79333,5.681116307
01-08-2023,Rajasthan,2-Wheelers,4313,76171,5.662259915
01-02-2023,Tamil Nadu,2-Wheelers,6701,118355,5.661780237
01-04-2023,Chhattisgarh,2-Wheelers,1559,27613,5.645891428
01-03-2024,Delhi,4-Wheelers,897,15905,5.639735932
01-10-2023,Gujarat,2-Wheelers,8417,149414,5.633340919
01-01-2024,Rajasthan,2-Wheelers,4432,78862,5.619943699
01-02-2023,Andhra Pradesh,2-Wheelers,2907,51810,5.610885929
01-02-2024,Goa,4-Wheelers,99,1772,5.586907449
01-07-2022,Odisha,2-Wheelers,1816,32549,5.579280469
01-02-2024,Kerala,4-Wheelers,684,12281,5.569579025
01-09-2023,Gujarat,2-Wheelers,7209,129851,5.551747772
01-10-2023,Odisha,2-Wheelers,3972,71596,5.547795966
01-03-2024,Karnataka,4-Wheelers,1482,26751,5.539979814
01-01-2024,Chhattisgarh,2-Wheelers,2367,42881,5.519927241
01-06-2022,Goa,4-Wheelers,74,1342,5.514157973
01-07-2023,Chhattisgarh,2-Wheelers,1584,28753,5.508990366
01-01-2023,Chhattisgarh,2-Wheelers,1923,35000,5.494285714
01-02-2024,Chhattisgarh,2-Wheelers,2198,40110,5.479930192
01-12-2022,Uttarakhand,2-Wheelers,581,10627,5.467206173
01-07-2023,Delhi,4-Wheelers,831,15285,5.43670265
01-04-2022,Maharashtra,2-Wheelers,7375,135969,5.424030478
01-01-2023,Andhra Pradesh,2-Wheelers,2680,49537,5.410097503
01-07-2023,Gujarat,2-Wheelers,5300,98394,5.386507307
01-04-2022,Rajasthan,2-Wheelers,3771,70039,5.38414312
01-03-2022,Goa,2-Wheelers,235,4381,5.36407213
01-04-2021,Andaman & Nicobar Island,4-Wheelers,9,168,5.357142857
01-09-2023,Rajasthan,2-Wheelers,4336,81056,5.349388077
01-02-2022,Goa,4-Wheelers,62,1160,5.344827586
01-12-2023,Kerala,4-Wheelers,736,13811,5.329085512
01-08-2023,Madhya Pradesh,2-Wheelers,3907,73963,5.282370915
01-01-2023,Odisha,2-Wheelers,2533,47973,5.280053363
01-02-2023,Puducherry,2-Wheelers,177,3354,5.277280859
01-07-2023,Karnataka,4-Wheelers,1221,23154,5.273386888
01-11-2023,Puducherry,2-Wheelers,194,3681,5.270306982
01-12-2021,Karnataka,2-Wheelers,4381,83147,5.268981443
01-10-2023,Puducherry,2-Wheelers,197,3765,5.232403718
01-07-2022,Kerala,2-Wheelers,1964,37691,5.210793028
01-03-2022,Maharashtra,4-Wheelers,2060,39762,5.180825914
01-02-2023,Odisha,2-Wheelers,2552,49375,5.168607595
01-03-2022,Rajasthan,2-Wheelers,3080,60106,5.124280438
01-10-2022,Odisha,2-Wheelers,3695,72161,5.12049445
01-06-2023,Chandigarh,2-Wheelers,135,2638,5.117513268
01-11-2023,Kerala,4-Wheelers,641,12551,5.107162776
01-12-2022,Delhi,4-Wheelers,791,15492,5.10586109
01-04-2023,Puducherry,2-Wheelers,157,3076,5.104031209
01-04-2022,Odisha,2-Wheelers,2261,44330,5.100383487
01-11-2022,Puducherry,2-Wheelers,153,3002,5.096602265
01-04-2022,Tamil Nadu,2-Wheelers,5425,106643,5.087066193
01-11-2023,Chhattisgarh,2-Wheelers,3880,76276,5.086790078
01-09-2022,Chhattisgarh,2-Wheelers,1190,23465,5.071382911
01-03-2023,Chandigarh,4-Wheelers,131,2589,5.059868675
01-12-2023,Karnataka,4-Wheelers,1155,22859,5.052714467
01-10-2022,Puducherry,2-Wheelers,180,3564,5.050505051
01-11-2022,Gujarat,2-Wheelers,8322,165828,5.018452855
01-05-2022,Rajasthan,2-Wheelers,3701,73803,5.014701299
01-01-2023,Ladakh,2-Wheelers,1,20,5
01-02-2024,Andhra Pradesh,2-Wheelers,2830,56600,5
01-06-2023,Gujarat,2-Wheelers,4019,80898,4.967984375
01-10-2022,Tamil Nadu,2-Wheelers,5530,111507,4.959329908
01-07-2022,Chhattisgarh,2-Wheelers,1309,26466,4.945968412
01-03-2022,Odisha,2-Wheelers,2363,47801,4.943411226
01-10-2023,Tamil Nadu,2-Wheelers,6507,131658,4.942350636
01-05-2022,Delhi,4-Wheelers,750,15194,4.93615901
01-06-2023,Odisha,2-Wheelers,2131,43202,4.932642007
01-01-2024,Tamil Nadu,2-Wheelers,7580,153753,4.929985106
01-07-2023,Rajasthan,2-Wheelers,3763,76511,4.918247049
01-12-2023,Delhi,4-Wheelers,811,16567,4.895273737
01-07-2023,Tamil Nadu,2-Wheelers,5839,119322,4.893481504
01-05-2023,Chhattisgarh,4-Wheelers,185,3785,4.887714663
01-11-2023,Chandigarh,4-Wheelers,88,1805,4.87534626
01-04-2022,Andhra Pradesh,2-Wheelers,2745,56529,4.855914663
01-10-2021,Karnataka,2-Wheelers,3709,76401,4.854648499
01-08-2023,Tamil Nadu,2-Wheelers,6246,128997,4.841973069
01-07-2023,Puducherry,2-Wheelers,189,3909,4.834996163
01-07-2023,Goa,4-Wheelers,84,1739,4.830362277
01-01-2024,Jammu and Kashmir,2-Wheelers,219,4582,4.779572239
01-08-2023,Puducherry,2-Wheelers,197,4141,4.757304999
01-12-2023,Gujarat,2-Wheelers,4080,85848,4.752585966
01-12-2021,Maharashtra,4-Wheelers,1392,29346,4.743406256
01-05-2023,Delhi,4-Wheelers,787,16609,4.738394846
01-10-2023,Rajasthan,2-Wheelers,4906,103647,4.733373855
01-02-2023,Goa,4-Wheelers,83,1760,4.715909091
01-06-2023,Rajasthan,2-Wheelers,3261,69235,4.710045497
01-01-2022,Rajasthan,2-Wheelers,2359,50153,4.703606963
01-12-2023,Rajasthan,2-Wheelers,4676,99479,4.700489551
01-03-2024,Andhra Pradesh,4-Wheelers,366,7838,4.669558561
01-09-2021,Delhi,2-Wheelers,809,17347,4.663630599
01-06-2023,Karnataka,4-Wheelers,1142,24603,4.641710361
01-04-2022,Uttarakhand,2-Wheelers,602,12989,4.634690892
01-03-2024,Uttarakhand,2-Wheelers,579,12506,4.629777707
01-03-2022,Puducherry,2-Wheelers,181,3913,4.625606951
01-06-2022,Andhra Pradesh,2-Wheelers,1733,37538,4.616655123
01-05-2023,Uttarakhand,2-Wheelers,682,14779,4.614655931
01-11-2022,Rajasthan,2-Wheelers,7306,158463,4.61054
01-02-2024,Jammu and Kashmir,2-Wheelers,233,5055,4.609297725
01-11-2021,Karnataka,2-Wheelers,3430,74444,4.607490194
01-03-2023,Goa,4-Wheelers,112,2439,4.59204592
01-02-2024,Madhya Pradesh,2-Wheelers,4006,87659,4.569981405
01-02-2022,Rajasthan,2-Wheelers,2563,56168,4.563096425
01-07-2021,Andaman & Nicobar Island,4-Wheelers,8,176,4.545454545
01-02-2023,Kerala,4-Wheelers,662,14603,4.533315072
01-04-2022,Chhattisgarh,2-Wheelers,1397,30843,4.529390786
01-05-2023,Goa,4-Wheelers,85,1878,4.526091587
01-07-2022,Andhra Pradesh,2-Wheelers,1921,42632,4.506004879
01-08-2023,Goa,4-Wheelers,98,2177,4.501607717
01-03-2024,Jammu and Kashmir,2-Wheelers,297,6600,4.5
01-10-2023,Karnataka,4-Wheelers,1154,25652,4.498674567
01-03-2023,Uttarakhand,2-Wheelers,587,13077,4.488797125
01-01-2023,Puducherry,2-Wheelers,197,4395,4.482366325
01-03-2023,Kerala,4-Wheelers,1107,24727,4.476887613
01-05-2022,Odisha,2-Wheelers,1714,38324,4.472393278
01-09-2023,Tamil Nadu,2-Wheelers,5178,116071,4.461062625
01-09-2023,Madhya Pradesh,2-Wheelers,3283,74064,4.432652841
01-10-2023,Kerala,4-Wheelers,642,14522,4.420878667
01-05-2023,Karnataka,4-Wheelers,999,22601,4.4201584
01-06-2023,Goa,4-Wheelers,75,1699,4.414361389
01-12-2021,Goa,2-Wheelers,153,3468,4.411764706
01-08-2022,Tamil Nadu,2-Wheelers,5306,120312,4.410200146
01-09-2021,Karnataka,2-Wheelers,3539,80292,4.407662034
01-02-2022,Andhra Pradesh,2-Wheelers,2284,52013,4.39120989
01-11-2021,Goa,2-Wheelers,178,4104,4.337231969
01-06-2022,Odisha,2-Wheelers,1693,39143,4.325166696
01-02-2024,Uttarakhand,2-Wheelers,586,13692,4.279871458
01-10-2022,Chhattisgarh,2-Wheelers,2471,57951,4.263947128
01-09-2022,Andhra Pradesh,2-Wheelers,2239,52804,4.240209075
01-08-2023,Karnataka,4-Wheelers,1196,28235,4.235877457
01-03-2024,Punjab,2-Wheelers,1514,35877,4.219973799
01-02-2022,Kerala,2-Wheelers,1737,41273,4.208562498
01-09-2022,Tamil Nadu,2-Wheelers,5112,121791,4.197354484
01-11-2022,Jammu and Kashmir,2-Wheelers,194,4656,4.166666667
01-04-2023,Uttarakhand,2-Wheelers,524,12580,4.165341812
01-10-2021,Goa,2-Wheelers,163,3914,4.164537557
01-08-2021,Karnataka,2-Wheelers,3319,79751,4.161703302
01-10-2023,Goa,4-Wheelers,87,2094,4.154727794
01-02-2022,Tamil Nadu,2-Wheelers,4506,108851,4.139603678
01-09-2022,Uttarakhand,2-Wheelers,386,9325,4.139410188
01-08-2023,Chandigarh,4-Wheelers,80,1937,4.13009809
01-10-2023,Chandigarh,4-Wheelers,71,1722,4.12311266
01-06-2023,Chhattisgarh,2-Wheelers,1245,30378,4.098360656
01-10-2022,Uttarakhand,2-Wheelers,797,19532,4.080483309
01-09-2023,Puducherry,2-Wheelers,136,3350,4.059701493
01-05-2023,Madhya Pradesh,2-Wheelers,3940,97067,4.059051995
01-01-2023,Tamil Nadu,2-Wheelers,5505,135769,4.054681113
01-08-2023,Kerala,4-Wheelers,736,18189,4.046401671
01-11-2023,Rajasthan,2-Wheelers,7743,191722,4.038660143
01-07-2021,Karnataka,2-Wheelers,3384,84001,4.02852347
01-07-2022,Tamil Nadu,2-Wheelers,4180,103800,4.026974952
01-01-2024,Madhya Pradesh,2-Wheelers,3684,92100,4
01-03-2022,Jammu and Kashmir,2-Wheelers,227,5680,3.996478873
01-01-2024,Andhra Pradesh,2-Wheelers,2134,53619,3.979932487
01-04-2022,Haryana,2-Wheelers,1215,30558,3.976045553
01-11-2022,Andhra Pradesh,2-Wheelers,2742,69695,3.934285099
01-03-2023,West Bengal,4-Wheelers,352,8955,3.930764936
01-06-2023,Puducherry,2-Wheelers,140,3591,3.898635478
01-12-2023,Andhra Pradesh,2-Wheelers,2372,60868,3.89695735
01-09-2023,Karnataka,4-Wheelers,942,24184,3.895137281
01-08-2022,Uttarakhand,2-Wheelers,494,12711,3.886397608
01-06-2023,Tamil Nadu,2-Wheelers,4720,121451,3.886340993
01-12-2021,Tamil Nadu,2-Wheelers,3236,83485,3.876145415
01-11-2023,Goa,4-Wheelers,97,2521,3.847679492
01-02-2023,Uttarakhand,2-Wheelers,426,11079,3.845112375
01-12-2023,Goa,4-Wheelers,71,1859,3.819257665
01-08-2021,Delhi,2-Wheelers,995,26069,3.816793893
01-12-2023,Madhya Pradesh,2-Wheelers,3359,88017,3.816308213
01-10-2021,Delhi,2-Wheelers,995,26087,3.81416031
01-02-2022,Gujarat,2-Wheelers,2613,68658,3.805820152
01-12-2022,Jammu and Kashmir,2-Wheelers,150,3943,3.804209992
01-10-2022,Chandigarh,2-Wheelers,118,3103,3.802771511
01-11-2021,Chandigarh,2-Wheelers,79,2083,3.792606817
01-07-2021,Goa,2-Wheelers,64,1694,3.778040142
01-01-2022,Gujarat,2-Wheelers,2191,58107,3.770630045
01-06-2023,Maharashtra,4-Wheelers,1360,36069,3.770550889
01-03-2023,Karnataka,4-Wheelers,1062,28169,3.770101885
